,SYMBOL
1872,TAJGVK
1873,TAKE
1874,TALBROAUTO
1875,TANLA
1876,TANTIACONS
1877,TARACHAND
1878,TARC
1879,TARMAT
1880,TASTYBITE
1885,TATACHEM
1886,TATACOFFEE
1887,TATACOMM
1888,TATACONSUM
1889,TATAELXSI
1890,TATAINVEST
1891,TATAMETALI
1892,TATAMOTORS
1893,TATAMTRDVR
1894,TATAPOWER
1895,TATASTEEL
1896,TATASTLLP
1897,TATVA
1898,TBZ
1899,TCFSL
1901,TCFSL
1902,TCFSL
1903,TCI
1905,TCIEXP
1906,TCNSBRANDS
1907,TCPLPACK
1908,TCS
1909,TDPOWERSYS
1910,TEAMLEASE
1913,TECHM
1915,TEJASNET
1917,TERASOFT
1919,TEXMOPIPES
1920,TEXRAIL
1921,TFCILTD
1925,THEINVEST
1927,THEMISMED
1929,THOMASCOOK
1930,THOMASCOTT
1932,TI
1933,TIDEWATER
1934,TIIL
1936,TIJARIA
1937,TIL
1938,TIMESGTY
1940,TIMKEN
1941,TINPLATE
1942,TIPSINDLTD
1943,TIRUMALCHM
1948,TNPETRO
1949,TNPL
1950,TNTELE
1952,TORNTPHARM
1953,TORNTPOWER
1954,TOTAL
1956,TPLPLASTEH
1960,TRF
1961,TRIDENT
1962,TRIGYN
